Year,Week,Resort,State,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),State_agg
2010,7,Perisher,NSW,5.085714285714286,-6.271428571428571,1.0,NSW
2010,7,Selwyn,NSW,6.457142857142857,-0.5571428571428572,0.0,NSW
2010,7,Thredbo,NSW,2.085714285714286,-5.585714285714286,0.6,NSW
2010,8,Charlotte Pass,NSW,1.8714285714285714,-2.4785714285714286,55.39999999999999,NSW
2010,8,Falls Creek,VIC,1.5142857142857142,-1.2285714285714284,73.8,VIC
2010,8,Mt. Baw Baw,VIC,2.242857142857143,-0.3428571428571429,52.2,VIC
2010,8,Mt. Buller,VIC,1.1285714285714286,-1.6714285714285713,72.4,VIC
2010,8,Mt. Hotham,VIC,0.39999999999999997,-2.1142857142857143,70.0,VIC
2010,8,Mt. Stirling,VIC,1.1285714285714286,-1.6714285714285713,72.4,VIC
2010,8,Perisher,NSW,2.8857142857142857,-2.142857142857143,99.19999999999999,NSW
2010,8,Selwyn,NSW,4.8999999999999995,0.6142857142857142,33.0,NSW
2010,8,Thredbo,NSW,0.8571428571428571,-2.814285714285714,11.600000000000001,NSW
2010,9,Charlotte Pass,NSW,0.6214285714285716,-7.042857142857143,1.9,NSW
2010,9,Falls Creek,VIC,0.10000000000000002,-4.042857142857143,3.8,VIC
