Year,Week,Resort,avg_max_temp,avg_min_temp,sum_precip
2026,8,Mt. Buller,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Mt. Buller,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Mt. Buller,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Mt. Buller,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Mt. Buller,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Mt. Buller,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Mt. Buller,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Mt. Buller,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Mt. Hotham,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Mt. Hotham,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Mt. Hotham,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Mt. Hotham,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Mt. Hotham,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Mt. Hotham,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Mt. Hotham,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Mt. Hotham,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Mt. Hotham,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Mt. Hotham,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Mt. Hotham,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Mt. Hotham,4.494236004058402,-1.408735627731963,166.58220379737452
2026,13,Mt. Hotham,6.278718234074306,-0.5737972620316694,160.91141740633017
2026,14,Mt. Hotham,6.518278853415913,0.04084340747568177,160.36065295515226
2026,15,Mt. Hotham,6.523578160773171,0.4156114074940298,210.95531100424697
2026,1,Mt. Stirling,2.8447300460956058,-1.1969097893381475,264.02085052539337
2026,2,Mt. Stirling,2.7066148103577676,-1.7452349714106197,157.77193889079956
2026,3,Mt. Stirling,2.6785131229778316,-1.8056543783256198,142.8624802503709
2026,4,Mt. Stirling,2.9153588851170555,-2.1496365442242644,176.03643015900948
2026,5,Mt. Stirling,2.30087771566532,-1.8435335908641264,218.32782029865044
2026,6,Mt. Stirling,1.76626476767846,-2.872035677473682,191.80637773682722
2026,7,Mt. Stirling,2.950081481968837,-1.8072038543940945,200.82573816049592
2026,8,Mt. Stirling,3.215795902232446,-1.9546440928418412,212.43839287853618
2026,9,Mt. Stirling,2.891421341342837,-2.1531844014245083,176.50696430606808
2026,10,Mt. Stirling,3.736765106584619,-1.144062510497235,180.29539461217195
2026,11,Mt. Stirling,3.4029351854007848,-1.5234381528881704,290.5780433262698
2026,12,Mt. Stirling,4.494236004058402,-1.408735627731963,166.58220379737452
